book_id,PC1,PC2,PC3,PC4,PC5
62,0.47792599973285815,0.09543254016951218,0.040471676160160154,0.14175401141295443,0.27788005754119416
64,0.5314194706799054,0.10994863501202068,0.053666402639530715,0.1555738424421574,0.25775021266364884
68,0.5097004138028526,0.11117700692543364,0.04626289320778676,0.15192123671024907,0.32579137039151446
72,0.3580550225993718,0.09563351017672335,0.013218820539828533,0.10871897317552062,0.41483930120962786
83,0.009755470478003644,-0.03240524638577331,-0.10393334546580192,-0.18632314723071833,-0.02865077643654707
96,0.17244791683057695,-0.07122082994674825,0.1505685714879046,-0.04767825826118255,-0.040102825081856606
123,0.40398286783286375,0.03714715114855036,0.024220349197961007,-0.00902625387178305,-0.397448170595593
149,0.3524857901957393,0.013312545043630487,0.040754194164161525,0.021098275737822466,-0.13019654454576618
164,0.10950536173352224,-0.040500958846375716,-0.054934516154341015,-0.14721353806749593,-0.19797507367406278
369,0.11264361884782512,0.013979395237659962,-0.029380108740863588,-0.05870527494865286,0.11509185604878541
551,0.35935700229004314,-0.02489397540634077,0.0969565812769924,-0.023670237849483237,-0.2827068092742277
552,0.3208110849365081,0.01547029731841496,0.01804737697294513,-0.018187066495139344,-0.21397542860656563
553,0.21348657816967997,0.010424867596191066,0.028855340428552353,-0.08602694503351734,-0.2034620208447276
605,0.39972128505425203,0.028302732409623596,0.024010895145464485,-0.011357016520801934,-0.4050614696724021
1153,0.32185864519467905,0.08201072465575594,0.007458113245682008,0.08992558981877129,0.32463417038634157
1268,0.0069827690105738575,-0.03584541609359867,-0.0998294786185897,-0.20905291432972192,-0.09775399682260752
1353,0.04583557041064361,-0.04760727994182737,-0.09769643488989208,-0.16212699214732004,-0.09169832786010781
3748,0.19161246661681233,-0.03564696727867686,-0.03316791919338218,-0.09166077975419021,-0.20148267955888774
18105,-0.09940496220012558,-0.02652331785050238,-0.05695412341756998,-0.05597891125480998,0.007062124968746341
18109,-0.20485464089472813,-0.19610083196514874,-0.26095649585443903,0.6890853605866615,-0.11218132505707974
18137,-0.14005640973283504,-0.06280335256268887,-0.06640462035407386,-0.006178487258307534,0.013361739568629426
18151,-0.27991784462235364,0.5360659156296433,0.150483658095543,0.07933523633982172,-0.07383828961906802
18261,-0.15603290716418847,-0.04395054347752216,-0.1477269004219299,-0.24600267813833152,0.1895467585309979
18342,-0.11432455827808602,-0.04957748699312398,-0.07407232829918943,-0.0550930907132204,-0.01157222435989689
18346,-0.14950322157568144,-0.03898549991258577,-0.09158227207219136,-0.09481723905184382,0.08223562373665207
18460,-0.058279724011236565,0.002713990065666249,-0.07858262775149134,-0.05917511374689923,0.0459960467082621
18584,-0.1407133060207003,-0.0671796334857175,-0.1230176402939974,-0.07963049997939567,0.03133025329541289
18632,-0.10284119085311423,-0.08317509913942868,-0.07782568162145108,-0.017359579493569335,-0.04592136026273312
18641,-0.08200732201442541,-0.057432440497614604,-0.05067603343177482,-0.029400058244942406,-0.059020803388248166
18800,-0.2903682081931567,0.6014103447304688,0.15152129670260145,0.04448286284375106,-0.033732508545681314
18807,-0.13350741871115016,-0.09517523963165446,-0.00967965303365707,-0.16330943108526655,0.12437862794829353
18814,-0.14157743795173874,-0.0630788874210381,-0.06830046899822809,-0.13665825990456495,0.1052581163892965
18831,-0.14048894803465872,-0.04905820475071145,-0.1209123275865462,-0.07228254177015118,0.05872068343539608
18855,-0.09313780010710904,-0.03705989678783088,-0.06155337957143416,-0.04939556044044391,-0.004028942720524624
18861,-0.25301740257037225,0.5432426871468297,0.1538871406878539,0.06416459168231997,-0.019825518040986992
18949,-0.17490574944848997,-0.059406446691156904,-0.09806730870019717,-0.131353291352526,0.1295578128393097
19067,-0.29038081346321654,0.6380912416921288,0.17874232166145568,0.0689859236418098,-0.08797123789633045
19076,-0.12831118293024057,-0.07612403476701801,-0.038100707307455184,0.033222008036365075,-0.03608864504215401
19102,-0.1361204817188986,-0.0645924151132778,-0.07541555513868281,-0.09359648211736904,0.08075032888543619
19338,-0.03575431226454943,-0.022439987938105834,-0.06986915430623566,-0.03971890072744727,-0.01640573306534484
19362,-0.06889438292719138,-0.04097306030186135,-0.13008229057984697,-0.18358428044843564,0.04368944009480407
19370,-0.20797648492849957,-0.3876232674048631,0.7620442102812719,0.05159008941034941,0.04305559101146977
19445,-0.08327377001135446,-0.08036615537353872,0.03417418660472489,0.04225586427562319,0.03437243038893435
19474,-0.1999070195214551,-0.38348152938958374,0.7482654759409415,0.05933543610879462,0.02977732624073906
19478,-0.134646815954039,-0.0866147267605349,-0.04958774990268104,0.08342210121597542,-0.0788822936909787
20121,-0.11948923560127676,-0.0771858769869526,-0.08098260136189431,-0.025294079735560464,0.02207961013003384
20649,-0.11265146710438902,-0.09986968319510457,0.004857278498011303,0.059992967617284766,-0.06868553470208269
20659,-0.15349464946952604,-0.07021159120514925,-0.08185686253575729,-0.06496636664137849,0.1442076882580291
20726,-0.13706138075481925,-0.049735671920643286,-0.08911750411003598,-0.02638823041804123,0.10622892237899785
20727,-0.207883860777597,-0.19219512143422018,-0.24506741501220872,0.6807554563455529,-0.1240525704670196
20728,-0.12680242460550908,-0.08532290810133364,-0.06313327821353458,0.05559167963072586,0.05512501678092745
