term_str,PC1,PC2,PC3,PC4,PC5
aaaah,-8.574681552147429e-05,-5.362420812619783e-05,-6.342015592467648e-05,2.1360412933373374e-06,1.569459796603619e-05
aaagh,-0.0009601027987555399,0.002488661031354523,0.0006451624128589568,0.0010751234396794338,-0.0006455226120078989
aaah,-0.00010192036490903065,-9.348015834280933e-05,-6.136380503056013e-05,0.00011209149524129004,-0.00011135441678174275
aaanthor,0.008789787166356354,0.003319502518165852,0.0005611725823052154,0.00497526470272601,0.020270484933153813
aah,-0.0005152354334587505,-0.00029916031252862643,-0.00045155983666239597,-0.00042479652075774895,0.0004608837358565737
ab,1.95630572590426e-05,-2.7936793667117824e-05,-6.816919154959466e-05,-0.0001216015706601519,-7.556573227714657e-05
aback,-0.0008874987098877804,-0.0010635377900356912,-0.0012127382729467835,-0.00038756744248392446,-0.0008774942345199773
abaddon,-0.0006087416068650117,-0.0005766766815585895,-0.0004858980614335213,0.00045082859602251326,0.0005653556138363981
abandon,0.0016400853052003174,0.0002456048054645856,-0.0004970520046797268,-0.0012712173355854187,-0.0012418956978962994
abandoned,-0.000220270668098995,0.0027427977711443753,-0.0008035555731876762,0.0027625385086929057,-0.0024880927463988007
abandoning,-0.00010098057450532704,-0.0004450763969545581,-0.0016833950275253321,-0.0023941639384871777,0.000990232965478675
abandonment,0.0005176650082607209,-3.6246173556029565e-05,5.194500082183677e-05,-0.00019483746507361553,-0.000132416085706004
abash,0.00041473382706976665,0.00011720237102787987,5.760592563419814e-05,0.00023352450052460005,0.0004751067148122124
abashed,0.00041064242206035635,5.548892504119425e-05,-7.123538357469595e-05,-8.7570198082051e-06,0.0002931256303169738
abate,0.0013545962812033122,-0.00012651100719557104,0.00042391271688156846,-0.0003602729740542587,-0.001442489469696024
abated,0.001260227448179585,-3.0314664202627077e-05,8.96799402711619e-05,-0.000315637028868953,-0.0012717938287964338
abatement,0.00031050188714166387,-7.384536667656937e-05,-0.0001456541377385063,-0.00022109161562609278,-0.00031856871780195777
abating,-0.00011021523151955806,-0.0003163524867100988,-0.0009451987955926153,-0.001722574511921013,0.0005435664551156943
abbeville,0.0001641603611658372,-4.295246672764497e-05,-4.899205981457303e-05,-0.00014546331184046038,-0.00034777891775276113
abbey,0.0006436760252733568,4.214612511570574e-05,9.406667301542632e-05,1.7631602406378796e-05,-0.0003204528840498363
abbot,-0.00022827810257437697,-0.00021625375558446893,-0.00018221177303757188,0.00016906072350844503,0.00021200835518863
abbott,-0.0003733147297679866,-0.0004889559409193645,-0.0007337790642026579,0.002301193352999881,-0.00044334676182560266
abbreviated,0.0004931161696751455,-4.645214506783905e-06,-1.0462110791935617e-05,-0.0001495017597385496,-0.0010074905052050419
abbreviation,1.2846761921312414e-06,-9.258216892619301e-06,-3.002284329127141e-05,-7.24417540614677e-05,-3.33483352533198e-05
abbé,5.391324102689621e-05,-2.8143052520528882e-05,-4.5523550889250955e-05,-0.00013739039307998242,-0.00019572033077206802
abdallah,-0.0054190405589990215,-0.002178878833602889,-0.008780327797037742,-0.015878134617565032,0.01249654523301357
abdicate,-0.00034978613838703397,-0.00022851402004355024,-0.00030865256876042604,-0.0002951319417024651,0.0006594979718393725
abdicates,0.0001641603611658372,-4.295246672764497e-05,-4.899205981457303e-05,-0.00014546331184046038,-0.00034777891775276113
abdomen,0.0010200665683882278,-0.0002192467643959614,-9.552199981489897e-05,-9.750182508801646e-05,-0.00216484822668315
abduct,-0.00017467945236162864,0.0016923207561341989,0.0005614286856648307,0.0001944399042875759,-0.0006240634641982354
abducted,-0.001777171149944811,-0.0013230405641906048,-0.003259029027989301,-0.007347260400960094,0.004383699207339098
abducting,-0.00021797151623762265,0.0009041754896114277,0.00045144084221237645,3.574495754101811e-05,-0.00012816478465031667
abduction,0.0017607335176859674,0.001820692207233166,0.0007723876892046624,0.000919497333456237,0.0030268082207825097
abductor,0.003369398215082512,0.00036480931260378597,0.0009659396003184034,0.0004425711773425146,0.0011677808883890602
