book_id,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5
62,0.0007128684007011662,0.287722662893535,0.7115486719710716,5.27298119110503e-06,5.259865250522521e-06,5.263888250519215e-06
64,4.28056881316524e-06,0.17550835688780336,0.8244745374248391,4.2772192186478425e-06,4.272785846075116e-06,4.275113479664384e-06
68,6.179235927054466e-06,0.09027046379240974,0.9097048383581333,6.174691780741446e-06,6.169176072314323e-06,6.174745676871302e-06
72,7.239531161003641e-06,0.03882287195771427,0.9611481910846703,7.235246928503756e-06,7.2291438618964104e-06,7.23303566415298e-06
83,3.7384624883382746e-06,0.9999813279544519,3.7343306098479566e-06,3.733908904658352e-06,3.7324701573192335e-06,3.7328733879010533e-06
96,6.086753200627089e-06,0.08830619337489017,0.5598921097215102,6.085257636514641e-06,6.077522038137191e-06,0.3517834473707243
123,7.483915415942289e-06,0.5291440772838468,0.47082604850183457,7.472409613554896e-06,7.455163791650444e-06,7.462725497488324e-06
149,0.10974122592897001,0.403200167909366,0.48702971091899616,9.638746048733465e-06,9.629730387522954e-06,9.626766231538075e-06
164,3.349411123793034e-06,0.6793603722268394,3.3542744397815776e-06,3.347239056395254e-06,0.3206262264105151,3.3504380253916243e-06
369,5.1602102751470494e-06,5.1671528019707654e-06,0.9999741962650268,5.1579104871831055e-06,5.159316910743604e-06,5.159144498051679e-06
551,0.035121238088368756,0.6204562051111672,0.34439252675706766,1.0022197131932912e-05,9.997967135233504e-06,1.0009879129143332e-05
552,0.0069350860338218325,0.5723660643448217,0.42066948232243245,9.802827212472597e-06,9.770272718858965e-06,9.794198992666601e-06
553,0.022885520475207626,0.4762674769097442,0.5008174709475823,9.858929203977762e-06,9.831320087448e-06,9.841418174325037e-06
605,0.0017125641766832411,0.6260028118789902,0.3722651407640946,6.499402239452333e-06,6.4901525008336975e-06,6.493625491706464e-06
1153,4.073592426039268e-06,0.0005408066043412733,0.9994429142393624,4.069914312996014e-06,4.066908355678842e-06,4.068741201694349e-06
1268,1.8032574203834868e-06,0.5756023207336078,1.8062833291456826e-06,1.802446448225283e-06,1.8036109666526653e-06,0.42439046366822775
1353,3.474429504095283e-06,0.9999826453421043,3.472870081698001e-06,3.471083654316478e-06,3.4676753377532987e-06,3.468599317738052e-06
3748,4.731786821657806e-06,0.9999342150252742,4.688128665609647e-05,4.7267173167529535e-06,4.7215214704649734e-06,4.723662460886933e-06
18105,0.4344153064057926,0.087483710308244,0.11084541379734685,4.0913235554438286e-05,0.367173783620541,4.087263252096691e-05
18109,0.9997801462747965,4.4006137847374633e-05,4.3985529770781185e-05,4.397352969249875e-05,4.391363950578113e-05,4.3974888386995935e-05
18137,0.9802799235535024,0.010160357219545786,5.96259880525245e-06,5.95186239659137e-06,0.009541853204492828,5.951561257124121e-06
18151,9.37358526348636e-06,9.350923304617051e-06,9.35928921901351e-06,0.9999532301349684,9.341133967302227e-06,9.344933277283762e-06
18261,0.00011561165121066249,0.6105403164663652,0.0001154572246347844,0.1724219117151166,0.21669070023632772,0.0001160027063449729
18342,0.8846835738680854,0.11500454960652563,7.798589132393623e-05,7.805709360637874e-05,7.790576598650809e-05,7.792777447234703e-05
18346,0.2771342592591773,9.85423983274049e-06,9.874816790260845e-06,0.0003487199867807717,9.849306711361461e-06,0.7224874423907075
