book_id,title,author,subjects,bookshelves,genre,char_count,word_count,source_url,sent_neg,sent_neu,sent_pos,sent_compound
551,THE LAND THAT TIME FORGOT,"BURROUGHS, EDGAR RICE","LOST CONTINENTS -- FICTION
SCIENCE FICTION
PREHISTORIC PEOPLES -- FICTION
DINOSAURS -- FICTION
PS",SCIENCE FICTION,science fiction,203756,37215,https://www.gutenberg.org/ebooks/551,0.08015175332527207,0.855003022974607,0.06484159613059251,-0.030516807738814995
552,THE PEOPLE THAT TIME FORGOT,"BURROUGHS, EDGAR RICE","LOST CONTINENTS -- FICTION
SCIENCE FICTION
PS",SCIENCE FICTION,science fiction,212084,38312,https://www.gutenberg.org/ebooks/552,0.07427047619047619,0.8503415873015873,0.07538285714285714,0.024197650793650792
553,OUT OF TIME'S ABYSS,"BURROUGHS, EDGAR RICE","PS
SCIENCE FICTION",SCIENCE FICTION,science fiction,204739,35728,https://www.gutenberg.org/ebooks/553,0.07883037156704362,0.86597253634895,0.05518955304254173,-0.04122784060312332
605,PELLUCIDAR,"BURROUGHS, EDGAR RICE","ADVENTURE STORIES
PS
SCIENCE FICTION
EARTH (PLANET) -- CORE -- FICTION",SCIENCE FICTION,science fiction,317575,57337,https://www.gutenberg.org/ebooks/605,0.07228729689807976,0.8472913589364846,0.08041063515509601,0.03601547267355982
1153,THE CHESSMEN OF MARS,"BURROUGHS, EDGAR RICE","PS
MARS (PLANET) -- FICTION
SCIENCE FICTION",SCIENCE FICTION,science fiction,495541,88253,https://www.gutenberg.org/ebooks/1153,0.07791565778853914,0.851269168684423,0.07081255044390637,0.013708010492332529
1268,THE MYSTERIOUS ISLAND,"VERNE, JULES","SCIENCE FICTION
ISLANDS OF THE PACIFIC -- FICTION
ADVENTURE STORIES
PQ
CASTAWAYS -- FICTION",SCIENCE FICTION,science fiction,1135368,193335,https://www.gutenberg.org/ebooks/1268,0.05952967032967033,0.864531983805668,0.0759358010410642,0.05857355696934644
1353,OFF ON A COMET! A JOURNEY THROUGH PLANETARY SPACE,"VERNE, JULES","SCIENCE FICTION
PQ
INTERPLANETARY VOYAGES -- FICTION",SCIENCE FICTION,science fiction,604255,101086,https://www.gutenberg.org/ebooks/1353,0.06272613333333334,0.8615117333333333,0.07575813333333334,0.07505714666666666
3748,A JOURNEY INTO THE INTERIOR OF THE EARTH,"VERNE, JULES","SCIENCE FICTION
ADVENTURE STORIES
VOYAGES, IMAGINARY -- FICTION
EARTH (PLANET) -- CORE -- FICTION
PQ","SCIENCE FICTION
BEST BOOKS EVER LISTINGS",science fiction,428743,74086,https://www.gutenberg.org/ebooks/3748,0.07500843137254902,0.8294398039215687,0.06966764705882353,0.022442098039215687
18105,GENESIS,"PIPER, H. BEAM","SCIENCE FICTION
PS",SCIENCE FICTION,science fiction,50569,8728,https://www.gutenberg.org/ebooks/18105,0.06145226130653266,0.8905443886097152,0.048003350083752096,-0.02132110552763819
18109,GRAVEYARD OF DREAMS,"PIPER, H. BEAM","SCIENCE FICTION
PS
SHORT STORIES",SCIENCE FICTION,science fiction,46890,8009,https://www.gutenberg.org/ebooks/18109,0.05414206642066421,0.8864151291512915,0.05942804428044281,0.02516457564575646
18137,LITTLE FUZZY,"PIPER, H. BEAM","PS
HUMAN-ALIEN ENCOUNTERS -- FICTION
SCIENCE FICTION",SCIENCE FICTION,science fiction,345270,59169,https://www.gutenberg.org/ebooks/18137,0.051154105736782904,0.8860845894263217,0.06276062992125984,0.02153363329583802
18151,TIME CRIME,"PIPER, H. BEAM","PS
SCIENCE FICTION",SCIENCE FICTION,science fiction,219856,36714,https://www.gutenberg.org/ebooks/18151,0.047617954911433176,0.8961896135265701,0.05619202898550724,0.009007689210950081
18261,OPERATION R.S.V.P.,"PIPER, H. BEAM","PS
SHORT STORIES
SCIENCE FICTION
EPISTOLARY FICTION",SCIENCE FICTION,science fiction,18870,2878,https://www.gutenberg.org/ebooks/18261,0.06802083333333334,0.8373541666666666,0.09460416666666667,0.13095520833333332
18342,THE ANSWER,"PIPER, H. BEAM","SHORT STORIES
PS
SCIENCE FICTION",SCIENCE FICTION,science fiction,27263,4596,https://www.gutenberg.org/ebooks/18342,0.04697,0.89842,0.05127333333333333,0.011669333333333334
18346,NULL-ABC,"PIPER, H. BEAM","LITERACY -- FICTION
NUCLEAR WARFARE -- SOCIAL ASPECTS -- FICTION
SCIENCE FICTION
PS",SCIENCE FICTION,science fiction,209717,34939,https://www.gutenberg.org/ebooks/18346,0.058862859524802,0.8839904126719468,0.05714464360150063,-0.0015089620675281356
18460,FLIGHT FROM TOMORROW,"PIPER, H. BEAM","TIME TRAVEL -- FICTION
SCIENCE FICTION
PS",SCIENCE FICTION,science fiction,50359,8397,https://www.gutenberg.org/ebooks/18460,0.07164692482915717,0.8813599088838269,0.04698405466970387,-0.07636742596810935
18584,THE EDGE OF THE KNIFE,"PIPER, H. BEAM","PS
SCIENCE FICTION",SCIENCE FICTION,science fiction,96205,16222,https://www.gutenberg.org/ebooks/18584,0.06575622317596566,0.8700051502145923,0.06424206008583691,-0.007409871244635193
18632,CROSSROADS OF DESTINY,"PIPER, H. BEAM","PS
SHORT STORIES
SCIENCE FICTION",SCIENCE FICTION,science fiction,26691,4568,https://www.gutenberg.org/ebooks/18632,0.043335548172757477,0.895750830564784,0.06091029900332226,0.05470332225913622
18641,HUNTER PATROL,"PIPER, H. BEAM","SCIENCE FICTION
PS",SCIENCE FICTION,science fiction,69719,11440,https://www.gutenberg.org/ebooks/18641,0.0628656914893617,0.878719414893617,0.05840292553191489,-0.003236037234042552
18800,LAST ENEMY,"PIPER, H. BEAM","SCIENCE FICTION
PS",SCIENCE FICTION,science fiction,144940,23972,https://www.gutenberg.org/ebooks/18800,0.05171086398631309,0.8765449101796408,0.07174422583404619,0.030981693755346446
18807,HE WALKED AROUND THE HORSES,"PIPER, H. BEAM","SCIENCE FICTION
PS",SCIENCE FICTION,science fiction,47172,8168,https://www.gutenberg.org/ebooks/18807,0.05803468208092485,0.8716242774566474,0.07032658959537572,0.013294508670520231
18814,THE MERCENARIES,"PIPER, H. BEAM","SCIENCE FICTION
PS",SCIENCE FICTION,science fiction,52938,8629,https://www.gutenberg.org/ebooks/18814,0.06464026402640263,0.8812029702970298,0.05416501650165016,-0.014197854785478546
18831,TIME AND TIME AGAIN,"PIPER, H. BEAM","PS
SCIENCE FICTION
SHORT STORIES",SCIENCE FICTION,science fiction,40616,6928,https://www.gutenberg.org/ebooks/18831,0.0519073756432247,0.8810017152658662,0.06709777015437393,0.015410806174957119
18855,THE RETURN,"PIPER, H. BEAM","PS
SCIENCE FICTION",SCIENCE FICTION,science fiction,65065,11135,https://www.gutenberg.org/ebooks/18855,0.05061111111111111,0.9035880758807587,0.04580623306233062,-0.006099457994579945
18861,TEMPLE TROUBLE,"PIPER, H. BEAM","SCIENCE FICTION
PS",SCIENCE FICTION,science fiction,73109,12249,https://www.gutenberg.org/ebooks/18861,0.04877303988995873,0.8975790921595598,0.053650618982118294,0.008956121045392023
18949,DAY OF THE MORON,"PIPER, H. BEAM","PS
SCIENCE FICTION",SCIENCE FICTION,science fiction,67420,11083,https://www.gutenberg.org/ebooks/18949,0.04752267303102625,0.9027840095465394,0.04968735083532219,-0.00907983293556086
19067,POLICE OPERATION,"PIPER, H. BEAM","PS
SCIENCE FICTION",SCIENCE FICTION,science fiction,74577,12453,https://www.gutenberg.org/ebooks/19067,0.05032788944723618,0.8956545226130653,0.05401884422110553,-0.011904899497487437
19076,NAUDSONCE,"PIPER, H. BEAM","HUMAN-ALIEN ENCOUNTERS -- FICTION
PS
SCIENCE FICTION",SCIENCE FICTION,science fiction,98878,16662,https://www.gutenberg.org/ebooks/19076,0.04684057971014493,0.9000518688024409,0.05311289092295957,0.013790541571319603
19102,DEAREST,"PIPER, H. BEAM","PS
SCIENCE FICTION
SHORT STORIES",SCIENCE FICTION,science fiction,38525,6481,https://www.gutenberg.org/ebooks/19102,0.05771057884231537,0.8690299401197605,0.07326546906187625,0.015068862275449102
19338,THE KEEPER,"PIPER, H. BEAM","SCIENCE FICTION
PS",SCIENCE FICTION,science fiction,53238,9615,https://www.gutenberg.org/ebooks/19338,0.06536290322580644,0.8627451612903226,0.07189354838709677,0.02679145161290323
19362,IN THE YEAR 2889,"VERNE, JULES","PQ
SCIENCE FICTION
SHORT STORIES",SCIENCE FICTION,science fiction,34075,5656,https://www.gutenberg.org/ebooks/19362,0.04037708830548926,0.8831909307875896,0.07643436754176612,0.09217398568019093
19370,ULLR UPRISING,"PIPER, H. BEAM","SCIENCE FICTION
PS",SCIENCE FICTION,science fiction,242508,40076,https://www.gutenberg.org/ebooks/19370,0.05610854870775348,0.8918071570576541,0.051685089463220674,-0.011744135188866798
19445,OMNILINGUAL,"PIPER, H. BEAM","SCIENCE FICTION
PS",SCIENCE FICTION,science fiction,98495,16474,https://www.gutenberg.org/ebooks/19445,0.03542959641255605,0.9155452914798206,0.04902511210762332,0.03844923766816143
19474,ULLER UPRISING,"PIPER, H. BEAM","PS
SCIENCE FICTION",SCIENCE FICTION,science fiction,324407,53737,https://www.gutenberg.org/ebooks/19474,0.05502591922845087,0.8912522603978301,0.05372151898734177,-0.003007052441229656
19478,FOUR-DAY PLANET,"PIPER, H. BEAM","PS
SCIENCE FICTION
SPACE COLONIES -- FICTION",SCIENCE FICTION,science fiction,323833,57734,https://www.gutenberg.org/ebooks/19478,0.04795991933450971,0.9001018401814974,0.051686917065792794,0.006651903201411647
20121,LONE STAR PLANET,"PIPER, H. BEAM","SCIENCE FICTION
SPACE COLONIES -- FICTION
PS",SCIENCE FICTION,science fiction,179759,30553,https://www.gutenberg.org/ebooks/20121,0.05267191977077364,0.8820066857688634,0.06532234957020057,0.01759632282712512
20649,OOMPHEL IN THE SKY,"PIPER, H. BEAM","SCIENCE FICTION
PS",SCIENCE FICTION,science fiction,103795,17631,https://www.gutenberg.org/ebooks/20649,0.058224837662337665,0.8775917207792208,0.06418668831168832,0.010015178571428572
20659,MINISTRY OF DISTURBANCE,"PIPER, H. BEAM","PS
SCIENCE FICTION",SCIENCE FICTION,science fiction,100443,16400,https://www.gutenberg.org/ebooks/20659,0.051822841726618704,0.8711672661870504,0.07700179856115108,0.039054946043165464
20726,A SLAVE IS A SLAVE,"PIPER, H. BEAM","SCIENCE FICTION
PS",SCIENCE FICTION,science fiction,131498,21117,https://www.gutenberg.org/ebooks/20726,0.05509616677874916,0.8833214525891055,0.061579018157363816,0.023065568258238064
20727,THE COSMIC COMPUTER,"PIPER, H. BEAM","PS
SCIENCE FICTION",SCIENCE FICTION,science fiction,380691,64452,https://www.gutenberg.org/ebooks/20727,0.0490605616093881,0.8955257753562447,0.05541198658843252,0.008403562447611066
20728,SPACE VIKING,"PIPER, H. BEAM","REVENGE -- FICTION
SPACE WARFARE -- FICTION
SCIENCE FICTION
PS",SCIENCE FICTION,science fiction,394867,66492,https://www.gutenberg.org/ebooks/20728,0.055720741357767604,0.8846745106205748,0.05960370678883798,0.009389441899208664
